Ticker,Date,Open,High,Low,Close,Adj Close,Volume
MCHP,2026-01-26,74.71,75.3,73.95,74.79,74.79,7783900
MCHP,2026-01-27,75.12,76.28,75.03,75.16,75.16,6144100
MCHP,2026-01-28,79.82,81.43,78.73,80.28,80.28,14809600
MCHP,2026-01-29,79.89,80.88,76.07,79.36,79.36,7821700
MCHP,2026-01-30,78.33,78.56,75.08,75.92,75.92,12510700
MDB,2026-01-02,422.5,423.5,392.5,399.65,399.65,2555100
MDB,2026-01-05,404.01,423.71,400.86,420.82,420.82,1669100
MDB,2026-01-06,420.52,436.42,418.94,435.86,435.86,1740100
MDB,2026-01-07,435.01,444.72,433.01,440.6,440.6,1381800
MDB,2026-01-08,440.51,444.0,411.55,413.52,413.52,1578400
MDB,2026-01-09,414.78,420.8,407.73,408.12,408.12,1191000
MDB,2026-01-12,408.12,419.27,404.6,418.19,418.19,1087800
MDB,2026-01-13,417.73,424.23,409.7,411.19,411.19,1521500
MDB,2026-01-14,409.36,410.36,385.45,386.89,386.89,1627600
MDB,2026-01-15,388.31,410.74,384.0,389.2,389.2,2262800
MDB,2026-01-16,390.64,413.72,386.75,399.76,399.76,1988000
MDB,2026-01-20,389.87,400.92,380.25,384.82,384.82,1534600
MDB,2026-01-21,387.22,390.89,380.19,381.44,381.44,1093100
MDB,2026-01-22,387.6,404.99,387.14,404.64,404.64,1088700
MDB,2026-01-23,406.61,408.21,396.89,398.69,398.69,1047200
MDB,2026-01-26,401.85,413.58,399.83,411.25,411.25,958300
MDB,2026-01-27,420.0,423.48,410.21,411.89,411.89,703000
MDB,2026-01-28,417.07,426.32,409.44,411.04,411.04,863800
MDB,2026-01-29,395.4,398.0,362.9,374.02,374.02,2745000
MDB,2026-01-30,375.82,381.83,368.24,371.33,371.33,1603900
MDLZ,2026-01-02,53.94,54.28,53.41,53.65,53.65,10842000
MDLZ,2026-01-05,53.36,53.87,52.79,53.74,53.74,15822000
MDLZ,2026-01-06,53.48,53.65,52.7,52.73,52.73,11217500
MDLZ,2026-01-07,52.85,53.08,51.44,51.51,51.51,13171600
MDLZ,2026-01-08,51.4,54.09,51.2,53.99,53.99,15509500
MDLZ,2026-01-09,53.99,55.24,53.55,55.09,55.09,9908600
MDLZ,2026-01-12,55.12,55.4,54.73,54.92,54.92,11636500
MDLZ,2026-01-13,55.2,56.05,54.81,55.94,55.94,9870400
MDLZ,2026-01-14,55.79,57.32,55.71,57.23,57.23,12569400
MDLZ,2026-01-15,57.14,57.57,56.87,57.3,57.3,8080600
MDLZ,2026-01-16,57.22,57.56,56.61,57.24,57.24,12019100
MDLZ,2026-01-20,57.13,58.33,56.83,57.99,57.99,13063700
MDLZ,2026-01-21,57.67,58.0,56.68,57.35,57.35,12515300
MDLZ,2026-01-22,57.26,58.21,57.21,57.58,57.58,11525500
MDLZ,2026-01-23,57.49,58.43,57.44,58.4,58.4,10550600
MDLZ,2026-01-26,58.29,58.91,57.99,58.53,58.53,9762400
MDLZ,2026-01-27,58.3,60.2,58.25,59.02,59.02,10450600
MDLZ,2026-01-28,58.98,59.59,57.36,57.73,57.73,9809400
MDLZ,2026-01-29,57.92,58.46,57.13,57.31,57.31,11868700
MDLZ,2026-01-30,57.11,58.53,56.99,58.47,58.47,11539900
MELI,2026-01-02,2027.55,2035.0,1968.88,1973.7,1973.7,502500
MELI,2026-01-05,2011.94,2211.93,2010.9,2148.62,2148.62,1072900
MELI,2026-01-06,2142.17,2239.95,2138.0,2187.04,2187.04,689200
MELI,2026-01-07,2187.04,2188.49,2130.0,2162.61,2162.61,383100
MELI,2026-01-08,2176.7,2200.7,2160.02,2179.8,2179.8,340500
MELI,2026-01-09,2191.5,2193.06,2162.0,2178.41,2178.41,309200
MELI,2026-01-12,2164.27,2165.03,2122.57,2149.9,2149.9,408500
